,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
刪除 Audio,,,,conversation_mgt,AudioManager,delete_audio,"headers = { ""Content-Type"": ""multipart/form-data }

jsondata = {
""audio_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/AudioManager 取得 audio metadata (get_audio_metadata)
3. 透過 audio_path 取得 audios/{conversation_uid}/{audio_uid}.webm
4. 透過 audio_path 刪除 audios/{conversation_uid}/{audio_uid}.webm
5. conversation_mgt 呼叫 metadata_mgt/AudioManager 刪除 audio metadata (delete_audio_metadata)","{
""status_code"": <int>,
""message"": ""Audio 刪除成功""
}",,,,,,,,,,,,,,,,
取得 Audio,,,,conversation_mgt,AudioManager,get_audio/<str:audio_uid>,"headers = { ""Content-Type"": ""multipart/form-data"" }","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/AudioManager 取得 audio metadata (get_audio_metadata)
3. 建構 audio 路徑
4. 檢查 audio 路徑是否存在",二進制檔案,,,,,,,,,,,,,,,,
[Module] workflow management,,,,,,,,,,,,,,,,,,,,,,,,,
workflow manager,,,,,,,,,,,,,,,,,,,,,,,,,
開始執行工作流,,,,workflow_mgt,WorkflowManager,execute_workflow,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_content"": <text content>
}","1. 檢查 payload（必填欄位）
2. 呼叫 dify 對應函式","{
""status_code"": <int>,
""message"": ""Success execute workflow""
}",,,,,,,,,,,,,,,,
更新工作流狀態,,,,workflow_mgt,WorkflowManager,update_workflow_status,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <string>,
""workflow_status"":<string>,
""workflow_step"":<string>  // 可選
}","1. 檢查 payload（必填欄位）
2. workflow_mgt 呼叫 metadata_mgt/WorkflowManager 更新 workflow 狀態 (update_workflow_metadata)","{
""status_code"": <int>,
""message"": ""Workflow 更新成功""
}",,,,,,,,,,,,,,,,
紀錄 dify 執行 log,,,,workflow_mgt,WorkflowManager,logger_human_in_the_loop,"jsondata = {
""status_code"": <string>,
""message"": <string>
}","1. 檢查 payload（必填欄位）
2. 寫入 log 訊息","{
""status_code"": <int>,
""message"": ""Logger Human in the loop processed successfully""
}",,,,,,,,,,,,,,,,
consumer,,,,,,,,,,,,,,,,,,,,,,,,,
WebSocket 分發傳送訊息,,,,workflow_mgt,Consumer,send_message,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""event_type"": <string>,
""conversation_uid"": <uuid>,
""text_content"": <text content>
}","1. 檢查 payload（必填欄位）
2. workflow_mgt 呼叫 workflow_mgt/WorkflowManager 執行 workflow (execute_workflow)",,,,,,,,,,,,,,,,,
producer,,,,,,,,,,,,,,,,,,,,,,,,,
